ID,Image_Name,Image_Features,Name,Image_Description
0,image_04529.jpg,"[[-5.9498241e-04 -1.6752457e-03  5.6648772e-04 ...  9.5876330e-01
  -4.0130973e-01 -2.9628065e-01]]",gazania,a close up picture of a gazania in a gazania pot 
1,image_04176.jpg,"[[-0.000623    0.00586137  0.00462807 ...  0.13650793  0.2674653
   0.15614949]]",wild pansy,a red and white wild pansy in a wild pansy pot 
2,image_04995.jpg,"[[ 5.0382569e-05  4.7250697e-03  2.4774233e-03 ...  1.3171312e+00
  -4.9336442e-01  2.8834754e-01]]",marigold,a marigold in a vase on the ground 
3,image_03532.jpg,"[[-0.00067656  0.0087096   0.00192294 ... -0.32265475  0.00425755
   0.20463803]]",sweet william,a number of pink sweet williams in a vase 
4,image_01030.jpg,"[[ 4.8229325e-05  9.9918563e-03  5.5038193e-03 ... -4.7456834e-01
  -6.8356566e-02  5.8461756e-01]]",wallflower,a vase filled with wallflowers on top of a table 
5,image_00372.jpg,"[[-4.1443741e-04  4.8175827e-03  3.7190092e-03 ...  1.0174812e+00
  -5.7896531e-01 -1.3088164e-01]]",water lily,a close up view of a water lily in a water lily pot 
6,image_02539.jpg,"[[-2.1803619e-04  3.8361959e-03  4.0883138e-03 ...  1.4164484e+00
   3.6911321e-01  3.3668265e-01]]",morning glory,a very pretty morning glory in a very pretty morning glory pot 
7,image_05734.jpg,"[[-2.8426319e-04  4.4463947e-03  6.4262550e-04 ...  3.5400029e-02
  -5.1174372e-01  5.8074892e-01]]",daffodil,a brown and white bird is standing in a field 
8,image_06194.jpg,"[[-3.5263703e-05  4.8811184e-03  4.9635563e-03 ... -3.4370548e-01
  -8.6752570e-01  1.5521369e+00]]",balloon flower,a purple balloon flower in a blue vase in front of a fence 
9,image_02780.jpg,"[[-1.3090888e-04  8.9802379e-03  1.2509644e-03 ... -8.2758322e-02
  -3.4668040e-01  1.1247156e-01]]",bishop of llandaff,a red bishop of llandaff sitting on top of a tree branch 
10,image_06869.jpg,"[[ 1.6179025e-04  7.0193051e-03  1.4336605e-03 ...  8.0454212e-01
  -5.2090126e-01 -8.7799507e-01]]",prince of wales feathers,a vase filled with prince of wales featherss on top of a table 
11,image_07165.jpg,"[[-1.0598115e-04  2.5648612e-03 -7.6316675e-04 ...  2.3491082e+00
  -3.3147466e-01 -5.2857924e-01]]",tiger lily,an orange and white tiger lily in a clear blue sky 
12,image_05618.jpg,"[[-9.11478273e-05  1.52851101e-02  2.60756095e-03 ... -1.48336601e+00
  -1.00774035e-01  3.62186503e+00]]",garden phlox,a bouquet of pink garden phloxs in a garden phlox pot 
13,image_04164.jpg,"[[-0.00051287  0.00773137  0.00193967 ... -0.43516895  0.239117
   0.06395604]]",wild pansy,two purple and white wild pansys in a vase 
14,image_01972.jpg,"[[ 3.1848840e-04 -1.6530474e-04  1.7590871e-03 ...  2.8071542e+00
   7.1809664e-02  1.6257752e+00]]",anthurium,a pink rose sitting on top of a white towel 
15,image_01685.jpg,"[[-4.0515471e-04  8.4568784e-03  2.4412794e-03 ...  9.5616436e-01
  -1.0870346e-01  1.2337023e-01]]",clematis,a close up picture of a clematis in the grass 
16,image_00574.jpg,"[[-5.5763656e-05  9.3048010e-03  3.9288304e-03 ...  6.2836915e-01
  -7.8512883e-01  1.2094251e+00]]",cyclamen,a large purple cyclamen in the middle of a forest 
17,image_02079.jpg,"[[-5.8370620e-06  8.2824975e-03  4.9526487e-03 ...  1.0334759e+00
   5.9174903e-02 -4.7679546e-01]]",thorn apple,a white thorn apple in a white thorn apple vase 
18,image_05575.jpg,"[[-7.9996715e-04 -1.0037737e-03 -2.6130059e-03 ... -5.9644938e-01
  -1.0021195e+00 -1.7790011e-01]]",osteospermum,a blue and white osteospermum in a blue and white vase 
19,image_05835.jpg,"[[-1.7979197e-04  9.8305754e-03  1.1016796e-03 ...  2.7816267e+00
  -1.6160516e-01 -2.7743644e-01]]",great masterwort,a black and white photo of a pair of black and white great masterworts 
20,image_01968.jpg,"[[-1.4068982e-04  4.2438903e-03  4.1359467e-03 ...  1.9281720e-01
  -2.9182279e-01  9.2726457e-01]]",anthurium,a large white anthurium in a vase on a table 
21,image_01406.jpg,"[[ 1.1763462e-04  8.8258041e-03  1.1234524e-03 ... -9.0099913e-01
   1.1324942e-01 -8.0534822e-01]]",petunia,a petunia in a vase on the ground 
22,image_05681.jpg,"[[-1.06529602e-04  1.43120047e-02  2.41380767e-03 ... -6.19720876e-01
  -1.19676486e-01  2.00701404e+00]]",sweet pea,two red and white sweet peas in a sweet pea pot 
23,image_05682.jpg,"[[-1.5565616e-04  1.1517767e-02  4.7272267e-03 ... -1.9141024e-01
   2.5499913e-01  1.0310398e+00]]",sweet pea,a red rose in a red sweet pea vase 
24,image_02908.jpg,"[[-5.4672288e-05 -2.0333175e-03  3.8025666e-03 ...  1.7305044e+00
  -4.3003994e-01  2.0027044e+00]]",tree mallow,a very pretty pink tree mallow in a tree mallow pot 
25,image_05884.jpg,"[[-0.0005953  -0.00405952 -0.00069677 ... -0.4424009  -0.54485345
   0.08051994]]",black-eyed susan,a yellow black-eyed susan sitting on top of a plant 
26,image_00109.jpg,"[[-3.8665321e-04  5.1375967e-03  2.7364055e-03 ...  1.5889018e+00
  -7.7505821e-01  1.7100122e+00]]",passion flower,a plant that is growing out of a wooden fence 
27,image_02171.jpg,"[[ 1.6991106e-04  1.1791214e-02  3.4110306e-03 ... -6.6544485e-01
  -5.4869723e-01 -4.5078567e-01]]",thorn apple,a white thorn apple in the middle of a garden 
28,image_05599.jpg,"[[-6.1127532e-04  6.4084209e-03  9.5909165e-04 ... -1.3468659e+00
   3.9031765e-01  8.9241171e-01]]",garden phlox,a close up picture of some garden phloxs on a plant 
29,image_02918.jpg,"[[-1.2558314e-04  6.0291621e-03  1.1448290e-03 ...  1.2108462e-02
  -4.6852875e-01  4.4444972e-01]]",tree mallow,a row of pink tree mallows next to each other 
30,image_03030.jpg,"[[-1.7432508e-04  8.0654696e-03  5.0682953e-04 ...  2.5254371e+00
  -4.0249795e-01  1.7043431e+00]]",bee balm,a plant that is in a bee balm pot 
31,image_01794.jpg,"[[ 5.3110143e-06  4.1177338e-03  3.2471833e-03 ... -8.4659016e-01
   1.1689772e-01 -2.9390797e-02]]",hibiscus,a hibiscus in a vase in front of a window 
32,image_00507.jpg,"[[ 1.0954307e-04  5.2637914e-03  4.9360874e-03 ...  2.6951933e+00
  -2.4063328e-01  1.8942677e+00]]",cyclamen,a red rose in the middle of a plant 
33,image_01195.jpg,"[[-2.0552779e-04  7.5072781e-03  5.1632961e-03 ...  8.2562149e-01
   4.5184329e-01  9.2577386e-01]]",rose,a very pretty pink rose in a rose vase 
34,image_03293.jpg,"[[-2.2984621e-04  7.4933330e-04 -1.9186790e-03 ...  5.5644045e+00
  -2.1490814e-02  6.3474216e-02]]",bird of paradise,a close up picture of a colorful bird of paradise 
35,image_06572.jpg,"[[-2.08299214e-04  7.71568203e-03 -9.61635320e-04 ...  2.11153007e+00
   4.26858902e-01  1.19898915e-01]]",grape hyacinth,a blue and white grape hyacinth in a blue vase 
36,image_01277.jpg,"[[-3.1609906e-04  8.4129758e-03  3.3417924e-03 ...  4.8421004e-01
  -4.1776437e-01  7.9203755e-02]]",rose,a pink rose is in a white vase 
37,image_02061.jpg,"[[ 7.6649868e-04  6.3700532e-03  1.2868444e-03 ...  1.7344197e+00
  -1.2953812e-01  1.9483633e+00]]",anthurium,a red and white fire hydrant sitting on top of a table 
38,image_01774.jpg,"[[-2.2806929e-04  8.6365500e-03  3.9728866e-03 ... -1.5272106e+00
   1.2259219e-01  3.7497882e-02]]",hibiscus,a black and white photo of a plant 
39,image_05167.jpg,"[[-2.1339420e-04  5.0961175e-03  2.2685460e-03 ... -3.6519167e-01
   8.5304439e-02 -1.1197791e+00]]",english marigold,two yellow english marigolds sitting on top of each other 
40,image_06205.jpg,"[[-6.2105106e-04  1.4038356e-03  3.5879825e-04 ...  7.9212826e-01
  -2.7148932e-01  1.3305390e-01]]",oxeye daisy,a white bird sitting on top of a oxeye daisy in a field 
41,image_05943.jpg,"[[ 2.0196803e-04  1.2387077e-02  2.1391544e-03 ...  5.9544876e-02
  -2.3718438e-01  4.6986017e-01]]",bearded iris,a large purple bearded iris in the middle of a garden 
